,name,salary,employer,info,site
57,Python (Django) программист Middle,"{'a_min_salary': 90000, 'b_max_salary': None, 'x_currency': 'руб'}",ООО ЭКСПЕРТ-ПРО,https://hh.ru/vacancy/49094371?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=2
58,Python-разработчик,"{'a_min_salary': 200000, 'b_max_salary': 300000, 'x_currency': 'руб'}",Novakid Inc,https://hh.ru/vacancy/48900482?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=2
59,Python разработчик (Казань),"{'a_min_salary': 150000, 'b_max_salary': 200000, 'x_currency': 'руб'}",ООО Ракета,https://hh.ru/vacancy/49187602?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=2
60,Python Developer,,Тинькофф,https://hh.ru/vacancy/40612238?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=3
61,Python Developer (Avocado Team),"{'a_min_salary': 220000, 'b_max_salary': None, 'x_currency': 'руб'}",Semrush,https://hh.ru/vacancy/49637829?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=3
62,Backend разработчик Python,"{'a_min_salary': 140000, 'b_max_salary': None, 'x_currency': 'руб'}",ООО Монитор Софт,https://hh.ru/vacancy/48751058?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=3
63,Backend разработчик (Python),"{'a_min_salary': 150000, 'b_max_salary': 300000, 'x_currency': 'руб'}",izi,https://hh.ru/vacancy/48960196?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=3
64,Python-разработчик в Лавку,,Яндекс,https://hh.ru/vacancy/48206113?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=3
65,Программист Python,"{'a_min_salary': 30000, 'b_max_salary': 50000, 'x_currency': 'руб'}",ITD,https://hh.ru/vacancy/49489239?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=3
66,Strong Junior / Middle+ Python Developer,"{'a_min_salary': 1000, 'b_max_salary': 4000, 'x_currency': 'USD'}",Starnavi,https://hh.ru/vacancy/49599118?from=vacancy_search_list&query=%24python,https://hh.ru/search/vacancy?clusters=true&ored_clusters=true&enable_snippets=true&salary=&text=%24python&page=3
